id_transaccion,id_cliente,id_producto,fecha_venta,unidades,importe,descuento,almacen,promocion
7001001,113855,2016,11/04/2024,2,3.11,0.0,3,primavera_2024
7001002,114408,2171,24/05/2024,2,7.26,5.0,1,primavera_2024
7001003,109321,2036,23/05/2024,1,14.73,0.0,1,primavera_2024
7001004,107030,2312,25/04/2024,2,4.67,0.0,1,primavera_2024
7001005,101263,2293,05/05/2024,1,21.13,15.0,1,primavera_2024
7001006,100475,2221,13/05/2024,2,23.07,15.0,2,primavera_2024
7001007,112997,2290,18/04/2024,3,4.52,0.0,1,primavera_2024
7001008,100932,3694,16/04/2024,3,1.31,15.0,1,primavera_2024
7001009,103491,3324,18/05/2024,2,2.11,5.0,1,primavera_2024
7001010,112052,2335,09/04/2024,1,10.42,10.0,1,primavera_2024
7001011,103784,2158,15/04/2024,4,11.97,0.0,4,primavera_2024
7001012,105692,2131,09/05/2024,1,19.28,0.0,2,primavera_2024
7001013,100525,2092,10/05/2024,1,2.01,5.0,2,primavera_2024
7001014,112736,2364,18/05/2024,2,22.89,0.0,3,primavera_2024
7001015,109656,3046,24/03/2024,1,12.85,0.0,1,primavera_2024
7001016,101978,2026,07/04/2024,5,2.94,10.0,1,primavera_2024
7001017,106134,2154,20/05/2024,1,4.33,0.0,2,primavera_2024
7001018,105663,2197,30/03/2024,1,16.06,0.0,1,primavera_2024
7001019,104518,2097,13/04/2024,1,22.51,10.0,3,primavera_2024
7001020,108285,2177,19/05/2024,1,0.87,0.0,5,primavera_2024
7001021,103275,2306,27/04/2024,1,9.63,5.0,4,primavera_2024
7001022,113653,2079,28/04/2024,3,4.27,20.0,2,primavera_2024
7001023,100722,2045,10/04/2024,1,5.39,10.0,1,primavera_2024
7001024,108268,2237,28/04/2024,2,21.66,0.0,3,primavera_2024
7001025,105438,2351,07/05/2024,5,11.43,15.0,1,primavera_2024
7001026,108470,2087,18/05/2024,1,5.2,5.0,4,primavera_2024
7001027,100850,2141,10/05/2024,4,18.13,5.0,2,primavera_2024
7001028,107337,2107,16/05/2024,2,12.91,0.0,2,primavera_2024
7001029,100764,2355,11/05/2024,3,14.11,10.0,2,primavera_2024
7001030,106709,3610,19/04/2024,3,15.73,10.0,1,primavera_2024
7001031,110576,2036,29/03/2024,1,14.73,0.0,3,primavera_2024
7001032,110152,2059,18/04/2024,1,5.82,5.0,1,primavera_2024
7001033,103048,2068,12/04/2024,1,4.98,10.0,4,primavera_2024
7001034,107666,2092,12/05/2024,3,2.01,15.0,4,primavera_2024
7001035,113150,2349,03/04/2024,3,6.55,0.0,2,primavera_2024
7001036,100613,3649,17/05/2024,1,6.9,15.0,1,primavera_2024
7001037,113976,2229,02/05/2024,1,13.54,0.0,3,primavera_2024
7001038,111465,2044,05/05/2024,2,12.22,5.0,2,primavera_2024
7001039,107896,3538,08/04/2024,3,12.83,10.0,4,primavera_2024
7001040,101798,2284,16/04/2024,1,17.93,5.0,3,primavera_2024
7001041,105463,2336,12/05/2024,1,16.14,5.0,2,primavera_2024
7001042,102948,3169,19/04/2024,1,17.09,20.0,4,primavera_2024
7001043,106926,2055,06/04/2024,4,13.03,0.0,4,primavera_2024
7001044,105166,2125,11/05/2024,2,21.08,0.0,4,primavera_2024
7001045,107561,2252,31/03/2024,1,8.07,0.0,2,primavera_2024
7001046,106535,2102,12/04/2024,2,16.66,0.0,4,primavera_2024
7001047,104550,2290,21/04/2024,1,4.52,0.0,1,primavera_2024
7001048,113447,2245,30/04/2024,2,8.66,10.0,5,primavera_2024
7001049,103675,2238,08/04/2024,1,20.0,15.0,5,primavera_2024
7001050,104624,2263,10/04/2024,2,18.09,0.0,1,primavera_2024
7001051,108750,2109,03/04/2024,2,10.44,0.0,1,primavera_2024
7001052,107609,2067,08/04/2024,2,4.67,0.0,3,primavera_2024
7001053,105110,2243,12/04/2024,2,9.41,5.0,3,primavera_2024
7001054,105802,2861,30/04/2024,1,11.98,0.0,3,primavera_2024
7001055,108346,2234,26/04/2024,1,2.36,10.0,2,primavera_2024
7001056,100310,2289,29/03/2024,1,19.3,10.0,2,primavera_2024
