cliente_id,campana,fecha_envio,canal_contacto,abrio_email,clickeo_link,compro,primer_compra_campana
100100,verano_2024,2024-06-19,email,False,,False,
102974,verano_2024,2024-06-17,Email,False,,False,
115024,verano_2024,2024-06-20,email,True,True,True,2024-08-05
112411,verano_2024,2024-06-18,email,True,False,False,
106052,verano_2024,2024-06-27,email,True,False,False,
112676,verano_2024,2024-06-29,push,,,True,2024-08-05
114647,verano_2024,2024-06-19,email,False,,False,
113712,verano_2024,2024-06-19,email,True,False,False,
114055,verano_2024,2024-06-28,push,,,True,2024-07-25
106791,verano_2024,2024-06-27,email,False,,False,
106308,verano_2024,2024-06-22,email,False,,False,
103485,verano_2024,2024-06-26,email,True,False,False,
109843,verano_2024,2024-06-28,email,False,,False,
109189,verano_2024,2024-06-18,email,False,,False,
103466,verano_2024,2024-06-15,email,True,False,False,
102089,verano_2024,2024-06-25,email,False,,False,
110461,verano_2024,2024-06-17,Email,True,False,True,2024-08-30
104401,verano_2024,2024-06-19,email,True,False,False,
106933,verano_2024,2024-06-23,email,True,False,False,
111075,verano_2024,2024-06-16,push,,,True,2024-08-04
103480,verano_2024,2024-06-26,email,True,False,False,
110318,verano_2024,2024-06-18,email,True,True,False,
104795,verano_2024,2024-06-22,email,True,False,False,
111643,verano_2024,2024-06-19,email,True,False,False,
106441,verano_2024,2024-06-21,Email,True,False,False,
104871,verano_2024,2024-06-19,email,True,False,False,
105750,verano_2024,2024-06-29,sms,,,True,2024-07-12
101351,verano_2024,2024-06-21,email,False,,False,
105333,verano_2024,2024-06-18,email,False,,False,
101523,verano_2024,2024-06-26,email,False,,False,
105569,verano_2024,2024-06-27,email,True,True,False,
107927,verano_2024,2024-06-22,sms,,,False,
103880,verano_2024,2024-06-25,push,,,False,
105611,verano_2024,2024-06-18,email,True,True,False,
110990,verano_2024,2024-06-24,email,False,,False,
104862,verano_2024,2024-06-29,email,False,,False,
102928,verano_2024,2024-06-15,email,False,,True,2024-08-21
109869,verano_2024,2024-06-18,sms,,,False,
101329,verano_2024,2024-06-26,email,False,,False,
100170,verano_2024,2024-06-28,email,True,False,False,
106215,verano_2024,2024-06-22,email,True,True,True,
111689,verano_2024,2024-06-26,push,,,False,
102233,verano_2024,2024-06-25,email,True,False,True,2024-07-27
102857,verano_2024,2024-06-24,email,True,False,False,
111015,verano_2024,2024-06-24,email,False,,False,
115239,verano_2024,2024-06-24,email,False,,False,
103030,verano_2024,2024-06-19,sms,,,False,
108696,verano_2024,2024-06-26,sms,,,True,2024-08-12
111962,verano_2024,2024-06-23,push_notification,,,False,
105554,verano_2024,2024-06-23,push,,,False,
114209,verano_2024,2024-06-21,email,False,,False,
105002,verano_2024,2024-06-15,email,False,,False,
113085,verano_2024,2024-06-26,email,True,True,False,
108954,verano_2024,2024-06-22,sms,,,True,2024-08-03
115136,verano_2024,2024-06-22,push,,,False,
104360,verano_2024,2024-06-17,push,,,False,
108577,verano_2024,2024-06-23,email,False,,False,
112124,verano_2024,2024-06-28,email,False,,True,2024-08-07
103222,verano_2024,2024-06-19,email,False,,False,
104063,verano_2024,2024-06-16,email,False,,False,
107701,verano_2024,2024-06-15,email,False,,False,
109076,verano_2024,2024-06-19,email,False,,False,
108102,verano_2024,2024-06-17,push,,,True,2024-08-14
107524,verano_2024,2024-06-28,email,False,,False,
114027,verano_2024,2024-06-25,push,,,False,
102827,verano_2024,2024-06-18,email,True,True,False,
112628,verano_2024,2024-06-23,push,,,True,2024-08-03
101359,verano_2024,2024-06-16,push,,,False,
107641,verano_2024,2024-06-24,email,True,False,False,
111982,verano_2024,2024-06-25,email,True,False,False,
105923,verano_2024,2024-06-20,email,False,,True,2024-08-11
115214,verano_2024,2024-06-20,push,,,False,
113872,verano_2024,2024-06-24,push,,,False,
100933,verano_2024,2024-06-21,push,,,False,
114306,verano_2024,2024-06-19,email,False,,False,
112205,verano_2024,2024-06-15,email,False,,False,
106316,verano_2024,2024-06-24,email,False,,False,
111500,verano_2024,2024-06-28,email,True,False,False,
112320,verano_2024,2024-06-24,push,,,False,
109699,verano_2024,2024-06-17,email,False,,False,
113626,verano_2024,2024-06-29,push,,,False,
114242,verano_2024,2024-06-18,email,False,,False,
109361,verano_2024,2024-06-25,email,True,False,True,2024-08-25
104623,verano_2024,2024-06-24,push,,,False,
108510,verano_2024,2024-06-25,email,False,,False,
110221,verano_2024,2024-06-18,push,,,True,2024-07-29
103316,verano_2024,2024-06-15,push,,,False,
107489,verano_2024,2024-06-25,email,False,,False,
114859,verano_2024,2024-06-23,Email,True,True,True,2024-07-04
104297,verano_2024,2024-06-23,push,,,False,
109293,verano_2024,2024-06-20,email,True,False,True,2024-07-05
112732,verano_2024,2024-06-23,Email,True,True,False,
103352,verano_2024,2024-06-27,email,False,,False,
107880,verano_2024,2024-06-23,push_notification,,,True,2024-08-24
108697,verano_2024,2024-06-23,email,False,,False,
106743,verano_2024,2024-06-18,email,True,False,False,
100567,verano_2024,2024-06-25,push,,,False,
110218,verano_2024,2024-06-20,email,True,False,False,
113742,verano_2024,2024-06-18,email,True,True,False,
112400,verano_2024,2024-06-17,push,,,True,2024-08-17
114480,verano_2024,2024-06-19,email,True,False,False,
113649,verano_2024,2024-06-25,push,,,True,2024-08-27
114986,verano_2024,2024-06-16,push,,,False,
114630,verano_2024,2024-06-19,email,True,False,False,
112770,verano_2024,2024-06-16,push,,,False,
100829,verano_2024,2024-06-19,email,False,,False,
106073,verano_2024,2024-06-16,email,False,,False,
114663,verano_2024,2024-06-15,email,False,,False,
113884,verano_2024,2024-06-28,sms,,,True,2024-07-31
101740,verano_2024,2024-06-22,email,False,,False,
111163,verano_2024,2024-06-21,email,True,False,False,
111073,verano_2024,2024-06-16,email,True,False,False,
112427,verano_2024,2024-06-17,push,,,False,
110873,verano_2024,2024-06-16,email,False,,False,
107373,verano_2024,2024-06-21,push,,,True,
107677,verano_2024,2024-06-18,email,True,False,False,
104116,verano_2024,2024-06-25,email,False,,False,
114598,verano_2024,2024-06-17,push,,,False,
