producto_id,descuento_campana_pct,precio_promo,stock_reservado,fecha_inicio_promo,fecha_fin_promo
3493,25.0,9.44,750,2024-07-03,2024-08-29
3011,20.0,3.34,750,2024-06-28,2024-08-19
2380,25.0,10.73,300,2024-06-15,2024-08-23
3698,10.0,18.83,750,2024-06-21,2024-08-18
3797,25.0,9.82,300,2024-06-16,2024-08-25
2010,12.0,1.46,200,2024-06-17,2024-08-26
3030,15.0,7.74,150,2024-06-16,2024-08-28
2373,20.0,10.67,750,2024-06-26,2024-08-18
2237,5.0,20.58,150,2024-07-06,2024-08-20
2905,5.0,11.27,500,2024-07-13,2024-08-26
2471,25.0,11.04,150,2024-06-24,2024-08-17
2786,15.0,5.13,300,2024-06-22,2024-08-25
3503,25.0,14.34,200,2024-07-09,2024-08-24
2670,10.0,4.89,100,2024-07-11,2024-08-25
2860,15.0,14.66,300,2024-06-29,2024-08-24
3242,10.0,5.57,200,2024-07-10,2024-08-26
2720,10.0,4.45,1000,2024-07-13,2024-08-18
3196,10.0,10.7,750,2024-06-30,2024-08-25
3473,5.0,3.19,100,2024-07-09,2024-08-28
3783,10.0,14.08,500,2024-06-18,2024-08-30
2639,5.0,18.09,300,2024-07-08,2024-08-22
2971,20.0,1.91,150,2024-06-16,2024-08-21
3192,10.0,11.88,750,2024-07-09,2024-08-18
2733,10.0,16.61,100,2024-07-02,2024-08-17
2797,10.0,16.01,300,2024-06-25,2024-08-16
2440,5.0,0.68,750,2024-07-09,2024-08-21
2707,12.0,10.51,500,2024-07-11,2024-08-23
2605,15.0,15.72,1000,2024-06-27,2024-08-22
2815,10.0,17.35,750,2024-06-30,2024-08-18
3218,15.0,10.06,300,2024-07-09,2024-08-29
2706,10.0,3.34,300,2024-06-16,2024-08-27
3106,5.0,21.13,500,2024-07-07,2024-08-21
2410,20.0,4.05,300,2024-06-21,2024-08-20
3349,12.0,20.88,200,2024-07-02,2024-08-17
2627,30.0,14.95,100,2024-07-09,2024-08-29
2856,10.0,13.77,500,2024-07-09,2024-08-16
3612,5.0,22.34,200,2024-06-16,2024-08-24
2626,5.0,4.75,750,2024-06-22,2024-08-15
2149,25.0,2.47,200,2024-06-29,2024-08-30
2769,15.0,16.86,200,2024-06-26,2024-08-26
3637,12.0,16.47,300,2024-07-13,2024-08-24
2781,12.0,16.1,200,2024-06-28,2024-08-18
3308,5.0,6.87,200,2024-06-29,2024-08-28
3283,10.0,4.15,200,2024-07-01,2024-08-21
3249,15.0,19.96,150,2024-06-28,2024-08-30
3632,10.0,11.17,750,2024-06-29,2024-08-29
3608,5.0,19.76,100,2024-07-02,2024-08-24
2787,10.0,17.15,150,2024-07-03,2024-08-18
3557,5.0,21.79,200,2024-06-25,2024-08-24
2550,15.0,10.25,100,2024-07-01,2024-08-16
3317,30.0,11.65,1000,2024-07-02,2024-08-26
3696,10.0,11.25,1000,2024-06-16,2024-08-20
3694,25.0,0.98,750,2024-06-20,2024-08-23
2808,10.0,3.41,100,2024-07-03,2024-08-21
3235,25.0,17.54,200,2024-07-04,2024-08-27
2975,20.0,17.15,1000,2024-06-24,2024-08-21
2353,25.0,10.98,150,2024-07-02,2024-08-27
2256,25.0,17.0,300,2024-07-02,2024-08-30
3358,10.0,19.5,100,2024-06-29,2024-08-24
2783,12.0,2.74,300,2024-06-15,2024-08-26
2321,15.0,14.08,100,2024-06-22,2024-08-23
2610,5.0,8.17,150,2024-07-03,2024-08-16
2802,12.0,13.13,500,2024-06-23,2024-08-24
3200,15.0,15.94,300,2024-06-23,2024-08-19
3211,30.0,0.9,500,2024-06-18,2024-08-29
2221,20.0,18.46,1000,2024-06-24,2024-08-16
2243,10.0,8.47,200,2024-07-02,2024-08-28
2442,10.0,8.88,200,2024-06-15,2024-08-21
3032,10.0,4.85,1000,2024-07-09,2024-08-27
2132,10.0,13.2,500,2024-06-20,2024-08-20
3813,20.0,3.02,100,2024-07-13,2024-08-23
2161,10.0,17.27,500,2024-07-07,2024-08-18
2135,12.0,0.7,750,2024-06-19,2024-08-16
2953,5.0,11.51,200,2024-06-28,2024-08-16
3416,5.0,19.16,500,2024-07-14,2024-08-18
2575,12.0,17.23,300,2024-07-01,2024-08-22
2367,15.0,20.54,150,2024-06-21,2024-08-22
2022,15.0,3.97,150,2024-06-22,2024-08-27
2093,15.0,0.54,300,2024-06-27,2024-08-30
2394,15.0,7.1,500,2024-07-14,2024-08-16
3293,10.0,7.41,150,2024-07-04,2024-08-25
3649,25.0,5.18,150,2024-06-27,2024-08-24
2069,15.0,9.16,150,2024-07-03,2024-08-23
2104,15.0,1.22,200,2024-06-27,2024-08-19
2634,20.0,5.55,150,2024-06-28,2024-08-22
3173,15.0,13.69,500,2024-07-12,2024-08-25
3512,5.0,6.88,300,2024-06-20,2024-08-26
2679,12.0,15.02,500,2024-07-09,2024-08-31
2839,25.0,11.48,200,2024-06-29,2024-08-20
2871,20.0,18.57,100,2024-06-30,2024-08-25
3418,12.0,4.48,200,2024-07-07,2024-08-24
3732,15.0,10.1,500,2024-06-21,2024-08-21
3298,10.0,16.48,150,2024-07-12,2024-08-31
3353,5.0,10.57,500,2024-07-09,2024-08-16
2325,10.0,7.52,300,2024-06-20,2024-08-27
2924,25.0,10.12,300,2024-06-22,2024-08-18
3600,30.0,2.48,100,2024-07-10,2024-08-17
2799,10.0,4.01,750,2024-07-01,2024-08-18
2458,5.0,6.79,150,2024-06-26,2024-08-30
3232,10.0,20.48,100,2024-07-13,2024-08-24
2866,10.0,8.6,750,2024-06-19,2024-08-27
2793,25.0,13.04,500,2024-06-27,2024-08-22
2928,10.0,16.7,200,2024-06-30,2024-08-28
2258,10.0,7.47,200,2024-06-23,2024-08-23
2059,15.0,4.95,750,2024-07-04,2024-08-16
3404,12.0,1.72,100,2024-06-21,2024-08-16
3731,15.0,1.14,300,2024-07-04,2024-08-30
3726,20.0,8.23,750,2024-07-03,2024-08-24
3185,20.0,4.23,100,2024-07-09,2024-08-27
3517,15.0,18.77,300,2024-07-12,2024-08-16
2467,10.0,3.76,150,2024-06-30,2024-08-15
2231,20.0,14.3,500,2024-07-01,2024-08-29
3450,12.0,0.78,300,2024-07-02,2024-08-18
3417,10.0,1.06,200,2024-07-14,2024-08-21
2110,25.0,8.91,500,2024-07-05,2024-08-18
2752,12.0,16.03,750,2024-07-04,2024-08-27
2879,12.0,20.33,100,2024-06-23,2024-08-30
2749,25.0,0.77,500,2024-06-25,2024-08-19
2805,20.0,1.35,300,2024-07-10,2024-08-16
2664,20.0,19.77,100,2024-06-24,2024-08-21
3053,5.0,10.74,300,2024-06-30,2024-08-30
2361,20.0,19.25,150,2024-06-16,2024-08-25
2696,10.0,6.17,200,2024-07-06,2024-08-20
3635,20.0,10.6,1000,2024-07-04,2024-08-30
2737,15.0,2.47,300,2024-07-03,2024-08-17
3806,10.0,9.82,200,2024-06-18,2024-08-22
2003,10.0,10.21,150,2024-07-07,2024-08-23
3689,20.0,16.86,300,2024-06-21,2024-08-25
3132,15.0,8.78,150,2024-06-15,2024-08-16
