pedido_id,cliente_id,tienda_id,fecha_pedido,estado,total_bruto,total_descuentos,total_neto,metodo_pago,codigo_postal_envio,hora_entrega
5000001,108765.0,1,2024-07-22 20:58:39,entregado,28.78,1.44,27.34,bizum,08009,2024-07-22 22:31:19
5000002,107795.0,3,2024-06-27 17:37:24,entregado,60.72,3.04,57.68,Bizum,46003,2024-06-27 18:38:00
5000003,104240.0,2,2024-06-15 18:04:40,cancelado,38.29,1.91,36.38,tarjeta,28013,
5000004,109903.0,2,2024-05-05 17:23:46,entregado,13.27,0.66,12.61,tarjeta,28005,2024-05-05 18:33:03
5000005,110451.0,1,2024-07-31 12:17:09,entregado,34.48,0.0,34.48,transferencia,08011,2024-07-31 15:40:16
5000006,105791.0,3,2024-06-03 20:03:46,entregado,24.31,1.22,23.09,tarjeta,46024,2024-06-03 21:50:49
5000007,101965.0,2,2024-07-05 19:43:11,entregado,32.85,1.64,31.21,bizum,28036,2024-07-05 22:52:32
5000008,114217.0,2,2024-06-22 18:39:41,entregado,41.83,0.0,41.83,tarjeta,28015,2024-06-22 20:36:15
5000009,112877.0,4,27/08/2024 08:19,entregado,51.58,5.16,46.42,Transferencia,41020,2024-08-27 10:00:16
5000010,103707.0,1,2024-08-07 16:57:32,en_preparacion,12.81,0.0,12.81,paypal,08015,
5000011,105550.0,1,2024-06-03 17:11:53,entregado,40.22,6.03,34.19,tarjeta,08017,2024-06-03 19:44:14
5000012,113538.0,2,2024-06-16 10:08:37,entregado,56.41,0.0,56.41,tarjeta,28046,2024-06-16 11:35:42
5000013,100529.0,5,2024-06-30 08:43:13,entregado,24.84,3.73,21.11,tarjeta,48011,2024-06-30 11:24:10
5000014,103289.0,4,2024-06-06 15:53:39,entregado,19.32,0.0,19.32,bizum,41001,2024-06-06 17:34:24
5000015,108773.0,3,2024-06-13 20:27:51,entregado,41.13,4.11,37.02,tarjeta,46012,2024-06-13 23:12:39
5000016,114746.0,1,2024-05-29 18:50:09,entregado,19.06,0.0,19.06,tarjeta,08011,2024-05-29 20:27:51
5000017,103434.0,2,2024-07-19 20:41:41,entregado,29.03,1.45,27.58,tarjeta,28005,2024-07-19 21:51:28
5000018,104830.0,3,2024-08-04 19:55:14,entregado,51.74,0.0,51.74,paypal,46020,2024-08-04 23:01:08
5000019,101359.0,4,2024-07-06 15:36:12,entregado,57.35,0.0,57.35,tarjeta,41008,2024-07-06 18:43:19
5000020,103659.0,3,2024-06-13 16:17:19,devuelto,36.79,1.84,34.95,EFECTIVO_ENTREGA,46007,
5000021,108130.0,2,2024-07-04 08:13:37,devuelto,39.55,1.98,37.57,efectivo_entrega,28015,
5000022,106189.0,3,2024-09-06 12:13:57,entregado,40.74,0.0,40.74,tarjeta,46023,2024-09-06 14:41:13
5000023,111318.0,1,2024-07-25 09:43:01,entregado,102.69,10.27,92.42,tarjeta,08019,2024-07-25 11:41:36
