producto_id,nombre,marca,categoria_id,precio_base,peso_kg,es_perecedero,dias_caducidad,activo,fecha_alta
2001,Leche entera Pascual 1L,Pascual,35.0,8.98,2.28,sí,12.0,True,2022-09-20
2002,Leche entera Central Lechera Asturiana 1L,Central Lechera Asturiana,35.0,4.87,8.71,sí,5.0,True,2020-06-21
2003,Leche entera Puleva 1L,Puleva,35.0,11.34,3.47,TRUE,5.0,True,2020-02-08
2004,Leche semidesnatada Pascual 1L,Pascual,35.0,15.33,3.43,True,4.0,True,2023-02-25
2005,Yogur natural Pascual pack 4,Pascual,35.0,2.08,8.49,TRUE,12.0,True,2021-03-03
2006,Yogur natural Central Lechera Asturiana pack 4,Central Lechera Asturiana,35.0,4.66,0.53,1,10.0,True,2021-01-15
2007,Yogur griego Pascual pack 2,Pascual,35.0,2.51,9.23,TRUE,4.0,True,2020-12-12
2008,Yogur griego Central Lechera Asturiana pack 2,Central Lechera Asturiana,35.0,9.09,8.31,True,12.0,True,2020-08-04
2009,Yogur griego Puleva pack 2,Puleva,35.0,14.23,3.68,sí,6.0,True,2023-02-18
2010,Queso fresco Pascual 250g,Pascual,35.0,1.66,6.65,true,7.0,True,2020-06-08
2011,Queso fresco Central Lechera Asturiana 250g,Central Lechera Asturiana,35.0,15.76,8.57,1,4.0,True,2022-11-17
2012,Queso fresco Puleva 250g,Puleva,35.0,6.44,4.59,true,8.0,True,2023-02-24
2013,Mantequilla Pascual 250g,Pascual,35.0,6.29,2.17,True,7.0,True,2022-04-27
2014,Nata para cocinar Pascual 200ml,Pascual,35.0,15.01,6.52,True,12.0,True,2020-05-15
2015,Nata para cocinar Central Lechera Asturiana 200ml,Central Lechera Asturiana,35.0,10.37,5.39,true,6.0,True,2022-07-06
2016,Nata para cocinar Puleva 200ml,Puleva,35.0,3.11,3.86,True,13.0,True,2021-10-17
2017,Batido chocolate Pascual 200ml,Pascual,35.0,9.17,6.88,true,3.0,True,2020-02-19
2018,Batido chocolate Central Lechera Asturiana 200ml,Central Lechera Asturiana,35.0,4.12,0.42,True,8.0,True,2020-02-16
2019,Batido chocolate Puleva 200ml,Puleva,35.0,6.77,0.76,True,12.0,True,2020-05-25
2020,Queso rallado Pascual 150g,Pascual,35.0,5.44,6.59,1,9.0,True,2020-12-05
2021,Queso rallado Central Lechera Asturiana 150g,Central Lechera Asturiana,35.0,14.21,6.46,TRUE,5.0,True,2020-12-27
2022,Queso rallado Puleva 150g,Puleva,35.0,4.67,2.54,true,11.0,True,2022-02-24
2023,Flan de huevo Pascual pack 4,Pascual,35.0,4.64,5.89,sí,12.0,True,2022-07-24
2024,Flan de huevo Central Lechera Asturiana pack 4,Central Lechera Asturiana,35.0,6.74,2.27,1,5.0,True,2020-02-11
2025,Flan de huevo Puleva pack 4,Puleva,35.0,8.44,1.0,1,3.0,True,2022-05-21
2026,Pan de molde Bimbo,Bimbo,39.0,2.94,1.68,TRUE,13.0,True,2020-11-04
2027,Pan integral Bimbo,Bimbo,39.0,9.77,3.91,True,12.0,True,2023-01-17
2028,Pan integral Panrico,Panrico,39.0,15.93,5.34,sí,11.0,True,2022-10-06
2029,Croissants Bimbo 6ud,Bimbo,39.0,11.07,1.23,1,11.0,True,2022-12-25
2030,Magdalenas Bimbo 12ud,Bimbo,39.0,12.43,3.47,1,7.0,True,2022-04-26
2031,Magdalenas Panrico 12ud,Panrico,39.0,7.29,4.59,True,14.0,True,2021-10-13
2032,Tortitas arroz Bimbo,Bimbo,39.0,4.65,5.06,1,5.0,True,2020-12-08
2033,Tortitas arroz Panrico,Panrico,39.0,8.41,1.15,sí,13.0,True,2021-11-28
2034,Tortitas arroz Oroweat,Oroweat,39.0,5.19,6.43,TRUE,12.0,True,2022-07-04
2035,Pan rústico Bimbo,Bimbo,39.0,2.94,7.65,sí,11.0,True,2021-03-08
2036,Rosquilletas Bimbo,Bimbo,39.0,14.73,6.03,1,10.0,True,2023-06-11
2037,Rosquilletas Panrico,Panrico,39.0,0.89,9.3,true,7.0,True,2020-01-11
2038,Rosquilletas Oroweat,Oroweat,39.0,4.28,2.48,TRUE,12.0,True,2023-03-24
2039,Mini baguettes Bimbo 4ud,Bimbo,39.0,1.91,4.91,sí,4.0,True,2023-06-05
2040,Aceite oliva virgen extra Carbonell 1L,Carbonell,9.0,12.38,1.37,FALSE,,True,2020-09-05
2041,Aceite oliva virgen extra Hojiblanca 1L,Hojiblanca,9.0,7.91,5.54,FALSE,,True,2022-12-20
2042,Aceite oliva virgen extra La Española 1L,La Española,9.0,4.67,8.74,False,,True,2021-10-18
2043,Aceite oliva suave Carbonell 1L,Carbonell,9.0,15.44,9.3,FALSE,,True,2021-06-12
2044,Aceite oliva suave Hojiblanca 1L,Hojiblanca,9.0,12.22,6.93,FALSE,,True,2021-03-07
2045,Vinagre de Módena Carbonell 250ml,Carbonell,9.0,5.39,9.95,0,,True,2020-08-29
2046,Vinagre de Módena Hojiblanca 250ml,Hojiblanca,9.0,10.6,4.44,no,,True,2020-11-30
2047,Vinagre de Módena La Española 250ml,La Española,9.0,8.56,1.3,0,,True,2023-04-01
2048,Aceite girasol Carbonell 1L,Carbonell,9.0,1.58,0.31,false,,True,2021-06-06
2049,Vinagre de vino Carbonell 500ml,Carbonell,9.0,4.13,2.28,FALSE,,True,2020-06-07
2050,Vinagre de vino Hojiblanca 500ml,Hojiblanca,9.0,1.68,6.35,no,,True,2020-05-24
2051,Vinagre de vino La Española 500ml,La Española,9.0,4.12,9.06,FALSE,,True,2021-08-13
2052,Pechuga de pollo ElPozo 500g,ElPozo,36.0,1.68,2.46,true,13.0,True,2020-05-30
2053,Pechuga de pollo Campofrío 500g,Campofrío,36.0,8.07,5.44,TRUE,14.0,True,2021-07-11
2054,Lomo embuchado ElPozo 150g,ElPozo,36.0,9.46,2.51,1,10.0,True,2021-06-18
2055,Lomo embuchado Campofrío 150g,Campofrío,36.0,13.03,1.99,true,4.0,True,2022-07-26
2056,Lomo embuchado Navidul 150g,Navidul,36.0,10.74,3.61,sí,9.0,True,2021-02-14
2057,Jamón serrano ElPozo 200g,ElPozo,36.0,13.89,0.64,True,13.0,True,2023-06-07
2058,Jamón serrano Campofrío 200g,Campofrío,36.0,15.75,1.07,true,9.0,True,2020-03-08
2059,Salchichas ElPozo 6ud,ElPozo,36.0,5.82,8.63,True,6.0,True,2023-02-07
2060,Salchichas Campofrío 6ud,Campofrío,36.0,3.54,5.41,1,5.0,True,2021-12-14
2061,Salchichas Navidul 6ud,Navidul,36.0,7.09,2.86,true,6.0,True,2022-04-13
2062,Chorizo extra ElPozo 200g,ElPozo,36.0,7.41,8.63,true,11.0,True,2020-07-12
2063,Bacon ahumado ElPozo 150g,ElPozo,36.0,1.37,9.99,sí,3.0,True,2021-08-11
2064,Pavo loncheado ElPozo 150g,ElPozo,36.0,14.86,8.5,TRUE,5.0,True,2020-05-02
2065,Hamburguesas ElPozo 4ud,ElPozo,36.0,8.07,2.22,True,9.0,True,2022-05-07
2066,Hamburguesas Campofrío 4ud,Campofrío,36.0,14.49,1.73,TRUE,3.0,True,2021-03-31
2067,Merluza filetes Pescanova 400g,Pescanova,37.0,4.67,7.86,TRUE,10.0,True,2022-09-03
2068,Merluza filetes Angulas Aguinaga 400g,Angulas Aguinaga,37.0,4.98,7.0,1,14.0,True,2022-08-18
2069,Gambas peladas Pescanova 200g,Pescanova,37.0,10.78,4.92,1,6.0,True,2021-07-15
2070,Gambas peladas Angulas Aguinaga 200g,Angulas Aguinaga,37.0,5.16,9.69,sí,12.0,True,2022-06-15
2071,Gambas peladas La Sirena 200g,La Sirena,37.0,11.92,0.7,true,8.0,True,2020-10-25
2072,Salmón ahumado Pescanova 100g,Pescanova,37.0,1.36,4.82,sí,11.0,True,2022-12-30
2073,Atún claro Pescanova pack 3,Pescanova,37.0,1.47,5.13,True,5.0,True,2020-04-18
2074,Bacalao desalado Pescanova 300g,Pescanova,37.0,9.75,6.78,1,6.0,True,2020-03-12
2075,Surimi Pescanova 12 palitos,Pescanova,37.0,2.44,8.91,sí,6.0,True,2022-10-24
2076,Surimi Angulas Aguinaga 12 palitos,Angulas Aguinaga,37.0,9.51,0.49,True,4.0,True,2020-12-20
2077,Manzanas Golden (kg),Genérico,38.0,10.71,5.7,True,8.0,True,2023-04-15
2078,Manzanas Golden (kg),Bonnysa,38.0,14.98,2.12,True,14.0,True,2021-03-25
2079,Plátanos de Canarias (kg),Genérico,38.0,4.27,4.02,true,13.0,True,2020-05-03
